hexValue,newLine,alphaValue
0x2B,x,@"@
0x30, ,A
0x31, ,B
0x32, ,C
0x33, ,D
0x34, ,E
0x35, ,F
0x36, ,G
0x37, ,H
0x38, ,I
0x39, ,J
0x3A, ,K
0x3B, ,L
0x3C, ,M
0x3D, ,N
0x3E, ,O
0x3F, ,P
0x40, ,Q
0x41, ,R
0x42, ,S
0x43, ,T
0x44, ,U
0x45, ,V
0x46, ,W
0x47, ,X
0x48, ,Y
0x49, ,Z
0x4A, ,x
0x4B, ,/
0x4C, ,+
0x4D, ,-
0x4E, ,=
0x4F, ,
0x50, ,:
0x51, ,|
0x52, ,?
0x53, ,!
0x54, ,�
0x55, ,{
0x56, ,}
0x57, ,Ex
0x58, ,(
0x59, ,)
0x5A, ,.
0x5B, ,�
0x5C, ,Ex
0x5D, ,;
0x5E, ,#
0x60, ,ar00
0x61, ,ar01
0x62, ,ar02
0x63, ,ar03
0x64, ,ar04
0x65, ,ar05
0x66, ,ar06
0x67, ,ar07
0x68, ,ar08
0x69, ,ar09
0x70, ,0
0x71, ,1
0x72, ,2
0x73, ,3
0x74, ,4
0x75, ,5
0x76, ,6
0x77, ,7
0x78, ,8
0x79, ,9
0x7A, ,.
0x90, ,a
0x91, ,b
0x92, ,c
0x93, ,d
0x94, ,e
0x95, ,f
0x96, ,g
0x97, ,h
0x98, ,i
0x99, ,j
0x9A, ,k
0x9B, ,l
0x9C, ,m
0x9D, ,n
0x9E, ,o
0x9F, ,p
0xA0, ,q
0xA1, ,r
0xA2, ,s
0xA3, ,t
0xA4, ,u
0xA5, ,v
0xA6, ,w
0xA7, ,x
0xA8, ,y
0xA9, ,z
0xAA, ,*
0xAB, ,/
0xAC, ,->
0xAD, ,<-
0xB0, ,ar10
0xB1, 'ar11
0xB2, ,ar12
0xB3, ,ar13
0xB4, ,ar14
0xB5, ,ar15
0xB6, ,ar16
0xB7, ,ar17
0xB8, ,ar18
0xB9, ,ar19
0xF1, ,arF
0xF6, ,ar1F
